r_id,r_pass_id,r_d_id,r_booked_time,r_status,r_start_time,r_pickup_location,r_drop_location,dist_covered_km,r_drop_location_changed,r_drop_location_changed_to,extra_dist_covered_km,total_dist_covered_km,r_drop_time,ride_fare,ride_tip,ride_cancelled_by_whom,cancellation_reason,penalty,payment_mode,payment_method,payment_mode_changed,payment_mode_changed_to,payment_status,driver_rating,r_v_id,r_shift,ride_surge_charge,coupons_alloted,coupon_used,ride_coupon_id,coupon_discount,coupon_amount,final_amount
R0001,P0187,D0275,2020-05-27 13:16:50,1,2020-05-27 13:40:38,New Palasia,Bhawarkuan,5,N,location not changed,0,5,2020-05-27 14:09:42,25,10,NA,NA,0,online,upi,N,same mode,completed,3.1,V0182,Noon,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,35.0
R0002,P0007,D0550,2020-10-18 08:06:28,1,2020-10-18 08:22:22,Sudama Nagar,Navlakha,8,N,location not changed,0,8,2020-10-18 08:33:10,40,20,NA,NA,0,online,upi,Y,cash,completed,3.9,V0362,Morning,0.0,['C0416'],Y,C0416,15.0,6.0,54.0
R0003,P0249,D0528,2020-03-31 16:11:24,1,2020-03-31 16:28:10,Geeta Bhawan,Khandwa Road,14,N,location not changed,0,14,2020-03-31 17:01:32,70,10,NA,NA,0,cash,cash,N,same mode,completed,4.8,V0164,Evening,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,80.0
R0004,P0055,D0090,2020-06-13 14:49:18,1,2020-06-13 15:18:16,Manorama Ganj,South Tukoganj,3,N,location not changed,0,3,2020-06-13 15:56:56,15,20,NA,NA,0,cash,cash,N,same mode,completed,4.1,V0244,Noon,0.0,['C0223'],N,No coupon_used,0.0,0.0,35.0
R0005,P0156,D0016,2020-09-27 03:41:16,1,2020-09-27 04:06:05,Rajendra Nagar,Manorama Ganj,10,N,location not changed,0,10,2020-09-27 04:43:36,50,0,NA,NA,0,online,wallet,N,same mode,completed,3.6,V0587,Mid Night,12.5,['-'],No coupon alloted,No coupon_used,0.0,0.0,62.5
R0006,P0049,D0583,2020-05-18 21:21:34,1,2020-05-18 21:46:40,Silicon City (Rau),Bhawarkuan,19,Y,Sudama Nagar,8,27,2020-05-18 22:21:45,135,20,NA,NA,0,cash,cash,Y,online,completed,1.7,V0520,Night,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,155.0
R0007,P0535,D0152,2020-06-24 23:35:26,1,2020-06-24 23:56:31,AB Road (Agra Bombay Road),Old Palasia,6,N,location not changed,0,6,2020-06-25 00:35:38,30,50,NA,NA,0,online,debit card,N,same mode,completed,3.5,V0747,Night,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,80.0
R0008,P0012,D0148,2020-10-10 03:04:12,1,2020-10-10 03:19:52,South Tukoganj,Sudama Nagar,5,N,location not changed,0,5,2020-10-10 03:45:06,25,0,NA,NA,0,cash,cash,Y,online,completed,4.0,V0489,Mid Night,6.25,['C0091'],N,No coupon_used,0.0,0.0,31.25
R0009,P0541,D0321,2020-06-09 05:48:47,1,2020-06-09 06:06:43,Navlakha,Geeta Bhawan,18,N,location not changed,0,18,2020-06-09 06:48:18,90,0,NA,NA,0,cash,cash,N,same mode,completed,1.8,V0133,Early Morning,22.5,['-'],No coupon alloted,No coupon_used,0.0,0.0,112.5
R0010,P0670,D0317,2020-10-31 22:56:17,0,NA,Annapurna Road,Rau,0,NA,NA,0,0,NA,0,0,D,Bad Location,0,NA,NA,NA,NA,NA,NA,V0361,Night,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,0.0
