r_id,r_pass_id,r_d_id,r_booked_time,r_status,r_start_time,r_pickup_location,r_drop_location,dist_covered_km,r_drop_location_changed,r_drop_location_changed_to,extra_dist_covered_km,total_dist_covered_km,r_drop_time,ride_fare,ride_tip,ride_cancelled_by_whom,cancellation_reason,penalty,payment_mode,payment_method,payment_mode_changed,payment_mode_changed_to,payment_status,driver_rating,r_v_id,r_shift,ride_surge_charge,coupons_alloted,coupon_used,ride_coupon_id,coupon_discount,coupon_amount,final_amount
R8001,P3452,D2239,2022-11-09 19:50:55,0,NA,Rajendra Nagar,Silicon City (Rau),0,NA,NA,0,0,NA,0,0,Pass,Driver asked,20,NA,NA,NA,NA,NA,NA,V2663,Evening,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,0.0
R8002,P2972,D2499,2022-06-16 06:43:19,0,NA,Annapurna Road,South Tukoganj,0,NA,NA,0,0,NA,0,0,D,Passenger Unreachable,0,NA,NA,NA,NA,NA,NA,V1776,Early Morning,0.0,['C1449'],No coupon alloted,No coupon_used,0.0,0.0,0.0
R8003,P3565,D2254,2022-12-16 23:34:59,1,2022-12-16 23:54:50,Old Palasia,Geeta Bhawan,19,N,location not changed,0,19,2022-12-17 00:09:42,95,0,NA,NA,0,online,wallet,N,same mode,completed,4.5,V2399,Night,0.0,['C2016'],Y,C2016,5.0,4.75,90.25
R8004,P2436,D2519,2022-09-11 13:40:28,1,2022-09-11 13:56:24,Bicholi Mardana],Navlakha,16,Y,Manorama Ganj,2,18,2022-09-11 14:15:32,90,20,NA,NA,0,online,wallet,N,same mode,completed,3.5,V2275,Noon,0.0,['C2213'],N,No coupon_used,0.0,0.0,110.0
R8005,P2414,D1868,2022-05-22 18:25:05,1,2022-05-22 18:53:34,Scheme No. 54,New Palasia,20,N,location not changed,0,20,2022-05-22 19:11:08,100,50,NA,NA,0,online,debit card,N,same mode,completed,3.2,V2641,Evening,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,150.0
R8006,P3336,D2547,2022-07-10 14:20:15,1,2022-07-10 14:45:48,Old Palasia,AB Road (Agra Bombay Road),3,N,location not changed,0,3,2022-07-10 15:05:31,15,0,NA,NA,0,online,wallet,N,same mode,completed,4.0,V2018,Noon,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,15.0
R8007,P2912,D2021,2022-01-05 14:17:50,1,2022-01-05 14:40:51,Navlakha,Manorama Ganj,11,N,location not changed,0,11,2022-01-05 15:11:52,55,20,NA,NA,0,cash,cash,N,same mode,completed,2.6,V2144,Noon,0.0,['C1586'],Y,C1586,20.0,11.0,64.0
R8008,P2952,D1812,2022-09-22 11:03:03,0,NA,Vijay Nagar,Sudama Nagar,0,NA,NA,0,0,NA,0,0,Pass,Driver asked,20,NA,NA,NA,NA,NA,NA,V2099,Morning,0.0,['C1489'],No coupon alloted,No coupon_used,0.0,0.0,0.0
R8009,P3076,D2265,2022-06-01 19:18:26,1,2022-06-01 19:44:58,Annapurna Road,Khandwa Road,18,N,location not changed,0,18,2022-06-01 19:57:55,90,20,NA,NA,0,online,credit card,Y,cash,completed,1.6,V2467,Evening,0.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,110.0
R8010,P3094,D2101,2022-04-18 05:18:13,1,2022-04-18 05:40:23,Khandwa Road,AB Road (Agra Bombay Road),12,N,location not changed,0,12,2022-04-18 06:26:23,60,20,NA,NA,0,online,debit card,Y,cash,completed,4.3,V2576,Early Morning,15.0,['-'],No coupon alloted,No coupon_used,0.0,0.0,95.0
