r_id,feedback_id,v_id,v_type,questions,answers
R3001,F0601,V0898,Bike,rate the use of helmet of your driver,3
R3001,F0601,V0898,Bike,rate the friendliness of your driver,3
R3002,F0602,V1142,Four wheeler,rate the cleanliness of your cab,2
R3002,F0602,V1142,Four wheeler,how was the drivers behavior,1
R3003,F0603,V1197,Auto,rate the cleanliness of your cab,3
R3003,F0603,V1197,Auto,how was the drivers behavior,3
R3004,F0604,V1541,Bike,rate the use of helmet of your driver,2
R3004,F0604,V1541,Bike,rate the friendliness of your driver,3
R3005,F0605,V1102,Auto,rate the cleanliness of your cab,3
R3005,F0605,V1102,Auto,how was the drivers behavior,1
R3006,F0606,V1315,Auto,rate the cleanliness of your cab,2
R3006,F0606,V1315,Auto,how was the drivers behavior,3
R3007,F0607,V0928,Auto,rate the cleanliness of your cab,3
R3007,F0607,V0928,Auto,how was the drivers behavior,4
R3009,F0609,V1091,Auto,rate the cleanliness of your cab,2
R3009,F0609,V1091,Auto,how was the drivers behavior,1
R3010,F0610,V1688,Bike,rate the use of helmet of your driver,3
R3010,F0610,V1688,Bike,rate the friendliness of your driver,2
R3011,F0611,V1303,Bike,rate the use of helmet of your driver,3
R3011,F0611,V1303,Bike,rate the friendliness of your driver,2
R3012,F0612,V1211,Four wheeler,rate the cleanliness of your cab,3
R3012,F0612,V1211,Four wheeler,how was the drivers behavior,1
R3013,F0613,V1447,Four wheeler,rate the cleanliness of your cab,1
R3013,F0613,V1447,Four wheeler,how was the drivers behavior,1
R3015,F0615,V1199,Auto,rate the cleanliness of your cab,3
R3015,F0615,V1199,Auto,how was the drivers behavior,3
R3016,F0616,V1362,Bike,rate the use of helmet of your driver,1
R3016,F0616,V1362,Bike,rate the friendliness of your driver,2
R3017,F0617,V1102,Auto,rate the cleanliness of your cab,4
R3017,F0617,V1102,Auto,how was the drivers behavior,3
R3019,F0619,V1399,Bike,rate the use of helmet of your driver,2
R3019,F0619,V1399,Bike,rate the friendliness of your driver,4
R3020,F0620,V1185,Auto,rate the cleanliness of your cab,3
R3020,F0620,V1185,Auto,how was the drivers behavior,2
R3021,F0621,V1258,Auto,rate the cleanliness of your cab,2
R3021,F0621,V1258,Auto,how was the drivers behavior,4
R3022,F0622,V1071,Bike,rate the use of helmet of your driver,1
R3022,F0622,V1071,Bike,rate the friendliness of your driver,2
R3023,F0623,V1359,Auto,rate the cleanliness of your cab,2
R3023,F0623,V1359,Auto,how was the drivers behavior,1
