v_id,v_number,v_type,v_name,v_color,v_insurance_end_date
V0851,MP-02-7012,Auto,Auto,Yellow,2022-11-12
V0852,MP-08-4173,Four wheeler,Ertiga,White,2024-09-12
V0853,MP-07-7127,Auto,Auto,Yellow,2027-02-05
V0854,MP-09-9720,Four wheeler,Ertiga,White,2027-07-18
V0855,MP-01-2639,Auto,Auto,Yellow,2027-09-13
V0856,MP-09-5491,Four wheeler,Bolero,White,2025-10-10
V0857,MP-01-5757,Auto,Auto,Yellow,2026-07-01
V0858,MP-01-2830,Auto,Auto,Yellow,2027-06-30
V0859,MP-07-9065,Auto,Auto,Yellow,2027-12-01
V0860,MP-08-6663,Auto,Auto,Yellow,2028-03-31
V0861,MP-04-6323,Auto,Auto,Yellow,2023-12-26
V0862,MP-03-1405,Auto,Auto,Yellow,2025-08-25
V0863,MP-09-8130,Bike,Firestorm,Yellow,2027-12-16
V0864,MP-10-9556,Auto,Auto,Yellow,2024-02-15
V0865,MP-09-1931,Bike,Thunderbird,Yellow,2026-12-20
V0866,MP-06-6853,Four wheeler,Brezza,Red,2024-12-20
V0867,MP-06-6217,Auto,Auto,Yellow,2024-12-08
V0868,MP-07-3610,Auto,Auto,Yellow,2024-03-09
V0869,MP-01-2010,Auto,Auto,Yellow,2027-12-18
V0870,MP-09-6551,Four wheeler,Bolero,Black,2027-07-24
V0871,MP-10-6144,Four wheeler,Brezza,White,2026-10-04
V0872,MP-09-9094,Auto,Auto,Yellow,2025-12-12
V0873,MP-02-2745,Auto,Auto,Yellow,2023-07-28
V0874,MP-10-8893,Auto,Auto,Yellow,2022-07-25
V0875,MP-10-1995,Auto,Auto,Yellow,2024-11-16
V0876,MP-02-5961,Bike,Raptor,Yellow,2024-01-17
V0877,MP-08-6764,Four wheeler,Skoda,Yellow,2025-02-28
V0878,MP-09-8338,Bike,Thunderbird,Black,2026-09-19
V0879,MP-02-8375,Bike,Viper,Yellow,2028-05-21
V0880,MP-02-1108,Auto,Auto,Yellow,2024-05-26
V0881,MP-06-2147,Bike,Raptor,Black,2028-02-26
V0882,MP-04-3697,Four wheeler,Suzuki,Black,2027-12-31
V0883,MP-04-4395,Bike,Raptor,Black,2025-01-02
V0884,MP-10-5973,Auto,Auto,Yellow,2028-04-19
V0885,MP-04-0571,Auto,Auto,Yellow,2028-05-08
V0886,MP-09-0722,Four wheeler,Bolero,White,2025-05-27
V0887,MP-08-6940,Auto,Auto,Yellow,2027-04-29
V0888,MP-07-1117,Auto,Auto,Yellow,2024-07-21
V0889,MP-03-8022,Four wheeler,Suzuki,Red,2027-08-04
V0890,MP-01-4166,Auto,Auto,Yellow,2025-06-20
V0891,MP-06-2444,Auto,Auto,Yellow,2023-06-17
V0892,MP-02-4702,Auto,Auto,Yellow,2023-12-06
V0893,MP-07-7957,Auto,Auto,Yellow,2023-12-15
V0894,MP-01-0649,Auto,Auto,Yellow,2028-03-18
V0895,MP-05-3132,Bike,Firestorm,Yellow,2026-10-03
V0896,MP-08-4108,Four wheeler,Suzuki,White,2027-04-08
