c_id,c_code,c_discount%,c_pass_id,c_allocation_date,c_validity_date
C0601,NEWOFF,5,P1053,2021-04-11,2021-04-13
C0602,NEWOFF,5,P1426,2021-08-27,2021-08-29
C0603,CARDAXIS,15,P2178,2021-05-19,2021-05-28
C0604,CARDAXIS,15,P1690,2021-12-28,2022-01-03
C0605,CARDAXIS,15,P2121,2021-12-05,2021-12-08
C0606,NEWOFF,5,P1257,2021-01-19,2021-01-21
C0607,CARDAXIS,15,P1192,2021-09-01,2021-09-06
C0608,NEWOFF,5,P1270,2021-04-09,2021-04-11
C0609,OFF20,20,P1805,2021-10-29,2021-11-04
C0610,CARDAXIS,15,P1986,2021-02-08,2021-02-12
C0611,OFF20,20,P1330,2021-12-08,2021-12-14
C0612,OFF20,20,P1655,2021-10-27,2021-11-08
C0613,CARDAXIS,15,P1013,2021-04-30,2021-05-07
C0614,NEWOFF,5,P1583,2021-07-18,2021-07-20
C0615,OFF20,20,P1763,2021-02-12,2021-02-24
C0616,CARDAXIS,15,P1348,2021-12-11,2021-12-18
C0617,OFF20,20,P1022,2021-09-22,2021-10-06
C0618,NEWOFF,5,P2184,2021-09-05,2021-09-06
C0619,CARDAXIS,15,P1927,2021-07-14,2021-07-17
C0620,CARDAXIS,15,P1537,2021-05-15,2021-05-20
C0621,OFF20,20,P1863,2021-11-11,2021-11-24
C0622,OFF20,20,P1149,2021-06-29,2021-07-05
C0623,NEWOFF,5,P1714,2021-02-08,2021-02-10
C0624,CARDAXIS,15,P1781,2021-11-12,2021-11-17
C0625,CARDAXIS,15,P1170,2021-04-01,2021-04-07
C0626,CARDAXIS,15,P1467,2021-08-08,2021-08-17
C0627,NEWOFF,5,P1961,2021-11-04,2021-11-05
C0628,CARDAXIS,15,P1642,2021-08-04,2021-08-08
C0629,OFF20,20,P1880,2021-01-08,2021-01-18
C0630,OFF20,20,P1977,2021-06-22,2021-06-30
C0631,NEWOFF,5,P2137,2021-11-15,2021-11-17
C0632,CARDAXIS,15,P1705,2021-07-29,2021-08-07
C0633,OFF20,20,P1478,2021-05-17,2021-05-26
C0634,OFF20,20,P1514,2021-11-30,2021-12-14
C0635,NEWOFF,5,P1075,2021-10-18,2021-10-20
C0636,OFF20,20,P1774,2021-03-22,2021-03-30
C0637,OFF20,20,P1988,2021-09-19,2021-10-02
C0638,NEWOFF,5,P1327,2021-04-23,2021-04-25
C0639,OFF20,20,P1661,2021-07-23,2021-08-04
C0640,CARDAXIS,15,P2095,2021-04-01,2021-04-05
C0641,OFF20,20,P1721,2021-11-30,2021-12-06
C0642,OFF20,20,P2124,2021-12-26,2022-01-05
C0643,NEWOFF,5,P1867,2021-04-03,2021-04-04
C0644,CARDAXIS,15,P1275,2021-09-25,2021-10-01
C0645,OFF20,20,P2148,2021-12-21,2021-12-27
C0646,OFF20,20,P1722,2021-12-21,2022-01-04
C0647,NEWOFF,5,P1869,2021-05-24,2021-05-25
C0648,CARDAXIS,15,P2148,2021-03-28,2021-04-01
C0649,OFF20,20,P1331,2021-10-13,2021-10-21
C0650,CARDAXIS,15,P1219,2021-12-10,2021-12-14
C0651,OFF20,20,P1595,2021-04-07,2021-04-15
C0652,NEWOFF,5,P1060,2021-10-20,2021-10-21
C0653,OFF20,20,P1106,2021-06-02,2021-06-13
C0654,OFF20,20,P1531,2021-01-04,2021-01-17
C0655,NEWOFF,5,P1713,2021-01-31,2021-02-02
C0656,NEWOFF,5,P1481,2021-08-11,2021-08-12
C0657,CARDAXIS,15,P2178,2021-11-19,2021-11-27
