c_pass_id,c_ids_alloted
P1001,"['C0708', 'C0840', 'C1142', 'C1293']"
P1002,['C0664']
P1003,['-']
P1004,['C1184']
P1005,['-']
P1006,['C0908']
P1007,['C0939']
P1008,['C1235']
P1009,['-']
P1010,['C0874']
P1011,['C1285']
P1012,['-']
P1013,['C0613']
P1014,['-']
P1015,['C0870']
P1016,"['C0976', 'C1289']"
P1017,['C1173']
P1018,['-']
P1019,['-']
P1020,['C1225']
P1021,['-']
P1022,"['C0617', 'C1048', 'C1222']"
P1023,"['C0754', 'C1253']"
P1024,['-']
P1025,['-']
P1026,['-']
P1027,['-']
P1028,['C0818']
P1029,['C1038']
P1030,['-']
P1031,['-']
P1032,['C0786']
P1033,['C1183']
P1034,['C0838']
P1035,['C0709']
P1036,"['C0904', 'C0979']"
P1037,"['C1058', 'C1375']"
P1038,"['C1163', 'C1357']"
P1039,['C0998']
P1040,['C1266']
P1041,['-']
P1042,['C1102']
P1043,['C0954']
P1044,['-']
P1045,['-']
P1046,['-']
P1047,"['C0946', 'C1344']"
P1048,['-']
P1049,['C0730']
P1050,['C0971']
P1051,['-']
P1052,['-']
P1053,['C0601']
P1054,['-']
P1055,['-']
P1056,['C0693']
P1057,"['C0682', 'C1262']"
P1058,"['C0755', 'C0983']"
P1059,['-']
P1060,"['C0652', 'C0713', 'C0981']"
P1061,['-']
P1062,"['C0714', 'C1317']"
P1063,['-']
P1064,['C1325']
P1065,['C1041']
P1066,['C1279']
P1067,"['C1020', 'C1031']"
P1068,['-']
P1069,['-']
P1070,"['C0784', 'C1147']"
P1071,['-']
P1072,['C0881']
P1073,['-']
P1074,['-']
P1075,"['C0635', 'C0683', 'C1277']"
P1076,['-']
P1077,['-']
P1078,['-']
P1079,['C1304']
P1080,['-']
P1081,['-']
P1082,['C1086']
P1083,['C1377']
P1084,['-']
P1085,['-']
P1086,['C1073']
P1087,['C0887']
P1088,['-']
P1089,['-']
P1090,['-']
P1091,['-']
P1092,['C1033']
P1093,['-']
P1094,['C1089']
P1095,['-']
P1096,['C0780']
P1097,['-']
P1098,['-']
P1099,['-']
P1100,['-']
P1101,['C0739']
P1102,['-']
P1103,['-']
P1104,['-']
P1105,['-']
P1106,"['C0653', 'C1135']"
P1107,['C1157']
P1108,['C0685']
P1109,['C1316']
P1110,"['C0829', 'C1006']"
P1111,['C0845']
P1112,['-']
P1113,['C1023']
P1114,['C0982']
P1115,"['C0681', 'C0781', 'C1268', 'C1298']"
P1116,['C0905']
P1117,['-']
P1118,['C0743']
P1119,['-']
P1120,['-']
P1121,['-']
P1122,"['C0745', 'C1166']"
P1123,['-']
P1124,['C0843']
P1125,['C1200']
P1126,"['C0749', 'C1230']"
P1127,['-']
P1128,['-']
P1129,['C1160']
P1130,['C1302']
P1131,['C0848']
P1132,['-']
P1133,['-']
P1134,['-']
P1135,['-']
P1136,['-']
P1137,['C1331']
P1138,['-']
P1139,['-']
P1140,['C1308']
P1141,['-']
P1142,"['C1130', 'C1237', 'C1315']"
P1143,['C1063']
P1144,['C1056']
P1145,"['C0892', 'C0950', 'C1010']"
P1146,['C1210']
P1147,['C1123']
P1148,['-']
P1149,['C0622']
P1150,['C0914']
P1151,['C0974']
P1152,"['C0955', 'C1264']"
P1153,['C1239']
P1154,['-']
P1155,['C0736']
P1156,['C1333']
P1157,['-']
P1158,['C0672']
P1159,['-']
P1160,"['C0717', 'C0800']"
P1161,['C0988']
P1162,['C1257']
P1163,"['C0785', 'C1110', 'C1249']"
P1164,['-']
P1165,['-']
P1166,"['C0788', 'C1197', 'C1350', 'C1380']"
P1167,['-']
P1168,"['C1116', 'C1250']"
P1169,['-']
P1170,"['C0625', 'C0783', 'C1299']"
P1171,"['C0945', 'C1272']"
P1172,['C1261']
P1173,['C0933']
P1174,['-']
P1175,['-']
P1176,['-']
P1177,['-']
P1178,['C0844']
P1179,['C0762']
P1180,['C1240']
P1181,['C0862']
P1182,"['C0715', 'C1099']"
P1183,['-']
P1184,['-']
P1185,['-']
P1186,['-']
P1187,['C0761']
P1188,['-']
P1189,['-']
P1190,['-']
P1191,['C0734']
P1192,"['C0607', 'C0930', 'C1011']"
P1193,['-']
P1194,['-']
P1195,['C0668']
P1196,['-']
P1197,['-']
P1198,['-']
P1199,['-']
P1200,"['C0741', 'C0807']"
P1201,['-']
P1202,['-']
P1203,['-']
P1204,['C1254']
P1205,['-']
P1206,['C1118']
P1207,['-']
P1208,['C0820']
P1209,['-']
P1210,['-']
P1211,['-']
P1212,['C1180']
P1213,['C1018']
P1214,['-']
P1215,['-']
P1216,['-']
P1217,['-']
P1218,['-']
P1219,['C0650']
P1220,['C1288']
P1221,['-']
P1222,['C0812']
P1223,['-']
P1224,['C0859']
P1225,['C1065']
P1226,['-']
P1227,['C1187']
P1228,['-']
P1229,['C1098']
P1230,"['C1029', 'C1328']"
P1231,['-']
P1232,"['C0791', 'C1034', 'C1125']"
P1233,['-']
P1234,['C1205']
P1235,['-']
P1236,['-']
P1237,['-']
P1238,['C0878']
P1239,['C1385']
P1240,"['C0937', 'C1343']"
P1241,['C0710']
P1242,['C0886']
P1243,['-']
P1244,['C0828']
P1245,['-']
P1246,['-']
P1247,['C1296']
P1248,['-']
P1249,['C0995']
P1250,['-']
P1251,"['C0750', 'C0825']"
P1252,['-']
P1253,['-']
P1254,['-']
P1255,['-']
P1256,['C1294']
P1257,['C0606']
P1258,['-']
P1259,['-']
P1260,['-']
P1261,['C1371']
P1262,['C1275']
P1263,['C0732']
P1264,"['C0884', 'C1050']"
P1265,['C1367']
P1266,['-']
P1267,['-']
P1268,['C0792']
P1269,['-']
