c_id,c_code,c_discount%,c_pass_id,c_allocation_date,c_validity_date
C1401,OFF20,20,P2364,2022-01-13,2022-01-26
C1402,NEWOFF,5,P3461,2022-03-22,2022-03-23
C1403,NEWOFF,5,P3378,2022-09-19,2022-09-20
C1404,CARDAXIS,15,P2890,2022-12-15,2022-12-19
C1405,CARDAXIS,15,P2793,2022-04-26,2022-04-29
C1406,CARDAXIS,15,P2546,2022-06-22,2022-06-30
C1407,NEWOFF,5,P3492,2022-09-07,2022-09-08
C1408,CARDAXIS,15,P2887,2022-02-25,2022-03-06
C1409,CARDAXIS,15,P2243,2022-06-04,2022-06-09
C1410,CARDAXIS,15,P2434,2022-04-30,2022-05-05
C1411,CARDAXIS,15,P3355,2022-06-11,2022-06-17
C1412,OFF20,20,P3125,2022-03-26,2022-04-01
C1413,CARDAXIS,15,P3221,2022-10-04,2022-10-07
C1414,CARDAXIS,15,P2529,2022-10-20,2022-10-26
C1415,OFF20,20,P2361,2022-03-01,2022-03-15
C1416,CARDAXIS,15,P3559,2022-06-23,2022-06-27
C1417,OFF20,20,P3583,2022-10-13,2022-10-25
C1418,CARDAXIS,15,P3583,2022-08-13,2022-08-20
C1419,OFF20,20,P3441,2022-08-24,2022-09-01
C1420,NEWOFF,5,P3039,2022-06-13,2022-06-14
C1421,NEWOFF,5,P3349,2022-01-04,2022-01-06
C1422,NEWOFF,5,P2521,2022-11-20,2022-11-22
C1423,CARDAXIS,15,P2783,2022-10-24,2022-11-01
C1424,CARDAXIS,15,P2364,2022-12-10,2022-12-14
C1425,OFF20,20,P2743,2022-08-09,2022-08-21
C1426,OFF20,20,P3691,2022-09-06,2022-09-17
C1427,OFF20,20,P3615,2022-08-13,2022-08-23
C1428,NEWOFF,5,P3597,2022-02-06,2022-02-08
C1429,CARDAXIS,15,P3587,2022-12-29,2023-01-04
C1430,NEWOFF,5,P2222,2022-02-06,2022-02-07
C1431,CARDAXIS,15,P3464,2022-03-03,2022-03-06
C1432,NEWOFF,5,P2937,2022-04-20,2022-04-22
C1433,NEWOFF,5,P3477,2022-08-20,2022-08-21
C1434,NEWOFF,5,P2433,2022-06-26,2022-06-27
C1435,NEWOFF,5,P3425,2022-10-31,2022-11-02
C1436,CARDAXIS,15,P2496,2022-06-22,2022-07-01
C1437,CARDAXIS,15,P2961,2022-09-06,2022-09-11
C1438,OFF20,20,P2589,2022-05-07,2022-05-12
C1439,OFF20,20,P2215,2022-10-15,2022-10-23
C1440,NEWOFF,5,P2512,2022-05-27,2022-05-29
C1441,OFF20,20,P2956,2022-04-07,2022-04-18
C1442,CARDAXIS,15,P2557,2022-01-23,2022-01-31
C1443,CARDAXIS,15,P3053,2022-09-20,2022-09-24
C1444,OFF20,20,P2690,2022-09-17,2022-09-25
C1445,NEWOFF,5,P2506,2022-12-04,2022-12-06
C1446,NEWOFF,5,P3213,2022-01-03,2022-01-05
C1447,NEWOFF,5,P2213,2022-11-27,2022-11-28
C1448,OFF20,20,P3379,2022-09-12,2022-09-26
C1449,OFF20,20,P2972,2022-07-11,2022-07-23
C1450,OFF20,20,P2654,2022-03-07,2022-03-21
C1451,CARDAXIS,15,P2277,2022-05-21,2022-05-25
C1452,CARDAXIS,15,P2207,2022-10-03,2022-10-07
C1453,CARDAXIS,15,P2839,2022-07-26,2022-07-29
C1454,NEWOFF,5,P2867,2022-02-25,2022-02-27
C1455,NEWOFF,5,P2690,2022-03-18,2022-03-19
C1456,OFF20,20,P2989,2022-01-20,2022-01-31
C1457,NEWOFF,5,P3548,2022-06-12,2022-06-13
C1458,OFF20,20,P2656,2022-11-14,2022-11-22
C1459,OFF20,20,P3213,2022-04-10,2022-04-16
C1460,OFF20,20,P2426,2022-03-23,2022-03-30
C1461,OFF20,20,P2455,2022-03-10,2022-03-23
C1462,NEWOFF,5,P2220,2022-01-02,2022-01-04
C1463,NEWOFF,5,P2770,2022-02-27,2022-03-01
C1464,NEWOFF,5,P3561,2022-11-15,2022-11-17
C1465,NEWOFF,5,P3068,2022-09-28,2022-09-29
C1466,OFF20,20,P2830,2022-10-27,2022-11-09
