r_id,feedback_id,v_id,v_type,questions,answers
R8001,F1401,V1861,Auto,rate the cleanliness of your cab,3
R8001,F1401,V1861,Auto,how was the drivers behavior,4
R8002,F1402,V1920,Auto,rate the cleanliness of your cab,3
R8002,F1402,V1920,Auto,how was the drivers behavior,3
R8003,F1403,V1758,Auto,rate the cleanliness of your cab,3
R8003,F1403,V1758,Auto,how was the drivers behavior,4
R8004,F1404,V1926,Bike,rate the use of helmet of your driver,2
R8004,F1404,V1926,Bike,rate the friendliness of your driver,4
R8005,F1405,V1774,Auto,rate the cleanliness of your cab,4
R8005,F1405,V1774,Auto,how was the drivers behavior,3
R8006,F1406,V2505,Auto,rate the cleanliness of your cab,1
R8006,F1406,V2505,Auto,how was the drivers behavior,3
R8008,F1408,V2168,Auto,rate the cleanliness of your cab,3
R8008,F1408,V2168,Auto,how was the drivers behavior,3
R8009,F1409,V2585,Auto,rate the cleanliness of your cab,1
R8009,F1409,V2585,Auto,how was the drivers behavior,4
R8010,F1410,V2320,Four wheeler,rate the cleanliness of your cab,4
R8010,F1410,V2320,Four wheeler,how was the drivers behavior,4
R8011,F1411,V2504,Auto,rate the cleanliness of your cab,3
R8011,F1411,V2504,Auto,how was the drivers behavior,2
R8012,F1412,V2671,Auto,rate the cleanliness of your cab,1
R8012,F1412,V2671,Auto,how was the drivers behavior,3
R8013,F1413,V2033,Auto,rate the cleanliness of your cab,1
R8013,F1413,V2033,Auto,how was the drivers behavior,1
R8014,F1414,V2541,Bike,rate the use of helmet of your driver,4
R8014,F1414,V2541,Bike,rate the friendliness of your driver,2
R8017,F1417,V2450,Auto,rate the cleanliness of your cab,2
R8017,F1417,V2450,Auto,how was the drivers behavior,3
R8019,F1419,V1861,Auto,rate the cleanliness of your cab,3
R8019,F1419,V1861,Auto,how was the drivers behavior,3
R8023,F1423,V2636,Auto,rate the cleanliness of your cab,4
R8023,F1423,V2636,Auto,how was the drivers behavior,3
R8024,F1424,V2332,Auto,rate the cleanliness of your cab,1
R8024,F1424,V2332,Auto,how was the drivers behavior,2
R8025,F1425,V2380,Auto,rate the cleanliness of your cab,1
