v_id,v_number,v_type,v_name,v_color,v_insurance_end_date
V0001,MP-03-6069,Auto,Auto,Yellow,2024-07-04
V0002,MP-09-3304,Auto,Auto,Yellow,2026-04-04
V0003,MP-02-4024,Auto,Auto,Yellow,2027-12-13
V0004,MP-10-2658,Four wheeler,Bolero,Black,2023-02-11
V0005,MP-06-0990,Auto,Auto,Yellow,2025-08-06
V0006,MP-06-6792,Four wheeler,Brezza,White,2027-10-15
V0007,MP-04-3129,Four wheeler,Bolero,Black,2024-02-14
V0008,MP-06-0733,Auto,Auto,Yellow,2024-09-17
V0009,MP-02-0936,Auto,Auto,Yellow,2023-04-30
V0010,MP-06-4722,Four wheeler,Suzuki,Red,2024-05-24
V0011,MP-09-2126,Auto,Auto,Yellow,2026-11-06
V0012,MP-02-6646,Auto,Auto,Yellow,2026-10-20
V0013,MP-10-9450,Auto,Auto,Yellow,2026-08-14
V0014,MP-08-4554,Auto,Auto,Yellow,2024-08-24
V0015,MP-02-2702,Auto,Auto,Yellow,2026-06-12
V0016,MP-09-9995,Auto,Auto,Yellow,2027-01-29
V0017,MP-06-4051,Four wheeler,Ertiga,Yellow,2023-10-25
V0018,MP-05-9493,Auto,Auto,Yellow,2022-08-10
V0019,MP-06-5885,Four wheeler,Skoda,Black,2023-03-03
V0020,MP-08-4802,Auto,Auto,Yellow,2023-01-10
V0021,MP-05-1138,Auto,Auto,Yellow,2023-06-24
V0022,MP-09-5992,Four wheeler,Suzuki,Yellow,2025-06-15
V0023,MP-08-8029,Auto,Auto,Yellow,2028-05-05
V0024,MP-01-4297,Auto,Auto,Yellow,2025-08-18
V0025,MP-08-7745,Auto,Auto,Yellow,2026-08-25
V0026,MP-05-0302,Four wheeler,Suzuki,White,2024-12-07
V0027,MP-08-5799,Auto,Auto,Yellow,2027-05-31
V0028,MP-08-6751,Auto,Auto,Yellow,2025-01-23
V0029,MP-04-7849,Four wheeler,Bolero,Black,2023-09-19
V0030,MP-02-8256,Auto,Auto,Yellow,2026-11-15
V0031,MP-08-1429,Four wheeler,Bolero,Red,2027-12-18
V0032,MP-09-6475,Auto,Auto,Yellow,2026-07-06
V0033,MP-05-2999,Auto,Auto,Yellow,2023-12-04
V0034,MP-07-9525,Four wheeler,Brezza,Red,2023-09-17
V0035,MP-04-0002,Auto,Auto,Yellow,2024-07-06
V0036,MP-10-9805,Four wheeler,Brezza,Red,2028-03-13
V0037,MP-04-5878,Auto,Auto,Yellow,2023-08-04
V0038,MP-06-4294,Four wheeler,Suzuki,White,2025-12-15
V0039,MP-08-2376,Four wheeler,Skoda,Yellow,2022-11-11
V0040,MP-05-0688,Auto,Auto,Yellow,2027-02-10
V0041,MP-03-5990,Auto,Auto,Yellow,2023-12-13
V0042,MP-10-5198,Auto,Auto,Yellow,2027-02-06
V0043,MP-08-4528,Four wheeler,Suzuki,Red,2027-09-02
V0044,MP-04-6713,Auto,Auto,Yellow,2028-04-17
V0045,MP-02-2608,Four wheeler,Suzuki,Red,2026-07-16
V0046,MP-05-5185,Four wheeler,Brezza,Black,2022-06-15
V0047,MP-04-6222,Auto,Auto,Yellow,2027-08-10
V0048,MP-02-5376,Four wheeler,Suzuki,Yellow,2027-01-11
V0049,MP-06-9729,Four wheeler,Ertiga,Black,2025-08-21
V0050,MP-06-7712,Four wheeler,Suzuki,White,2023-03-14
V0051,MP-04-5390,Auto,Auto,Yellow,2025-11-11
V0052,MP-10-2733,Auto,Auto,Yellow,2025-08-17
V0053,MP-05-4526,Auto,Auto,Yellow,2026-06-26
V0054,MP-02-3022,Four wheeler,Skoda,Black,2027-07-10
V0055,MP-05-4748,Four wheeler,Skoda,Black,2026-09-18
V0056,MP-10-9658,Auto,Auto,Yellow,2028-05-11
V0057,MP-03-4279,Auto,Auto,Yellow,2026-06-27
V0058,MP-06-7218,Auto,Auto,Yellow,2028-03-29
V0059,MP-09-9987,Auto,Auto,Yellow,2028-05-02
V0060,MP-03-9182,Auto,Auto,Yellow,2026-05-03
V0061,MP-04-4225,Four wheeler,Ertiga,Black,2025-03-14
V0062,MP-02-4790,Auto,Auto,Yellow,2027-02-21
V0063,MP-01-4750,Auto,Auto,Yellow,2025-02-24
V0064,MP-08-2174,Four wheeler,Suzuki,Yellow,2022-10-07
V0065,MP-02-0589,Auto,Auto,Yellow,2028-04-24
V0066,MP-06-2570,Four wheeler,Brezza,Red,2022-08-23
V0067,MP-06-4062,Four wheeler,Ertiga,Red,2023-01-12
V0068,MP-01-9259,Auto,Auto,Yellow,2027-04-24
V0069,MP-09-7357,Auto,Auto,Yellow,2027-12-09
V0070,MP-03-1364,Auto,Auto,Yellow,2022-12-05
V0071,MP-10-2042,Four wheeler,Bolero,Black,2024-01-19
V0072,MP-09-9707,Auto,Auto,Yellow,2027-02-11
V0073,MP-01-6068,Auto,Auto,Yellow,2024-07-09
V0074,MP-07-9704,Auto,Auto,Yellow,2022-08-24
V0075,MP-08-1195,Auto,Auto,Yellow,2026-05-20
V0076,MP-08-5064,Auto,Auto,Yellow,2023-03-28
V0077,MP-06-2134,Auto,Auto,Yellow,2023-04-01
V0078,MP-03-1910,Four wheeler,Suzuki,Black,2024-08-14
V0079,MP-06-9724,Four wheeler,Celerio,White,2025-12-29
V0080,MP-08-9534,Auto,Auto,Yellow,2023-08-30
V0081,MP-04-8462,Auto,Auto,Yellow,2027-07-07
V0082,MP-09-7426,Auto,Auto,Yellow,2027-01-11
V0083,MP-06-9418,Four wheeler,Skoda,Red,2022-10-30
V0084,MP-09-8234,Auto,Auto,Yellow,2028-04-29
V0085,MP-09-5637,Auto,Auto,Yellow,2025-09-08
V0086,MP-05-2702,Auto,Auto,Yellow,2022-10-29
V0087,MP-04-2527,Auto,Auto,Yellow,2023-03-03
V0088,MP-08-6660,Auto,Auto,Yellow,2027-12-02
V0089,MP-04-1897,Auto,Auto,Yellow,2025-10-03
V0090,MP-02-0379,Four wheeler,Skoda,Red,2026-07-15
V0091,MP-01-3146,Auto,Auto,Yellow,2027-10-26
V0092,MP-10-2571,Auto,Auto,Yellow,2027-09-07
V0093,MP-01-3692,Auto,Auto,Yellow,2026-05-27
V0094,MP-03-1399,Auto,Auto,Yellow,2022-11-07
V0095,MP-05-3117,Four wheeler,Celerio,Red,2027-02-15
V0096,MP-10-9036,Auto,Auto,Yellow,2025-02-11
V0097,MP-09-9334,Auto,Auto,Yellow,2027-09-25
V0098,MP-01-1450,Auto,Auto,Yellow,2027-08-02
V0099,MP-01-7530,Auto,Auto,Yellow,2027-11-03
V0100,MP-08-7112,Four wheeler,Celerio,White,2027-12-03
V0101,MP-03-1099,Four wheeler,Suzuki,Red,2022-11-19
V0102,MP-03-7796,Four wheeler,Celerio,Red,2022-12-31
V0103,MP-04-5972,Auto,Auto,Yellow,2026-09-26
V0104,MP-10-4132,Four wheeler,Bolero,Yellow,2023-02-07
V0105,MP-08-3949,Auto,Auto,Yellow,2023-08-20
V0106,MP-05-6287,Four wheeler,Brezza,Red,2024-08-28
V0107,MP-02-4173,Auto,Auto,Yellow,2022-07-05
V0108,MP-01-6404,Auto,Auto,Yellow,2022-12-02
V0109,MP-08-9365,Auto,Auto,Yellow,2024-05-23
V0110,MP-03-7355,Auto,Auto,Yellow,2028-06-06
V0111,MP-06-6508,Four wheeler,Ertiga,Yellow,2027-01-22
V0112,MP-05-1060,Auto,Auto,Yellow,2026-12-07
V0113,MP-07-2337,Auto,Auto,Yellow,2027-09-02
V0114,MP-05-2471,Auto,Auto,Yellow,2026-05-31
V0115,MP-01-9499,Four wheeler,Brezza,Yellow,2026-08-30
V0116,MP-04-9370,Four wheeler,Ertiga,White,2027-05-26
V0117,MP-07-5574,Auto,Auto,Yellow,2023-07-04
V0118,MP-04-2027,Auto,Auto,Yellow,2027-03-28
V0119,MP-10-5074,Auto,Auto,Yellow,2023-10-05
V0120,MP-07-5385,Four wheeler,Suzuki,Black,2023-10-23
V0121,MP-10-5860,Auto,Auto,Yellow,2026-01-29
V0122,MP-01-9986,Auto,Auto,Yellow,2022-07-25
V0123,MP-04-1987,Auto,Auto,Yellow,2026-03-16
V0124,MP-07-3570,Four wheeler,Skoda,Yellow,2026-07-05
V0125,MP-07-1703,Auto,Auto,Yellow,2025-05-22
V0126,MP-10-5158,Four wheeler,Ertiga,White,2027-02-12
V0127,MP-06-3669,Auto,Auto,Yellow,2025-06-27
V0128,MP-01-3207,Auto,Auto,Yellow,2024-03-21
