c_pass_id,c_ids_alloted
P2201,['-']
P2202,['-']
P2203,['-']
P2204,['C1767']
P2205,['C1606']
P2206,['-']
P2207,"['C1452', 'C1932']"
P2208,['C1944']
P2209,['-']
P2210,['C1652']
P2211,['-']
P2212,['-']
P2213,"['C1447', 'C2123']"
P2214,['-']
P2215,['C1439']
P2216,['C2102']
P2217,['C1567']
P2218,['-']
P2219,['-']
P2220,['C1462']
P2221,['-']
P2222,['C1430']
P2223,['-']
P2224,['-']
P2225,['-']
P2226,['C2097']
P2227,['-']
P2228,['-']
P2229,['C1591']
P2230,['-']
P2231,"['C1829', 'C2347']"
P2232,['-']
P2233,['C1877']
P2234,['-']
P2235,"['C1469', 'C2214']"
P2236,"['C1608', 'C1934']"
P2237,['-']
P2238,"['C1907', 'C2294']"
P2239,['-']
P2240,['-']
P2241,['-']
P2242,['-']
P2243,['C1409']
P2244,['C1630']
P2245,['-']
P2246,['C1544']
P2247,"['C1837', 'C2281', 'C2288']"
P2248,"['C2083', 'C2257']"
P2249,['-']
P2250,"['C1610', 'C1659']"
P2251,['-']
P2252,"['C2096', 'C2395']"
P2253,['-']
P2254,"['C1789', 'C2212']"
P2255,['C1965']
P2256,"['C1598', 'C2181']"
P2257,['-']
P2258,['C2000']
P2259,['-']
P2260,['-']
P2261,['C1981']
P2262,['-']
P2263,['-']
P2264,"['C1685', 'C2297']"
P2265,['-']
P2266,['-']
P2267,['C2167']
P2268,['-']
P2269,['-']
P2270,['-']
P2271,['-']
P2272,['C2162']
P2273,"['C1694', 'C2180']"
P2274,['-']
P2275,['-']
P2276,['-']
P2277,"['C1451', 'C2044']"
P2278,['-']
P2279,['C2346']
P2280,['-']
P2281,['-']
P2282,"['C2370', 'C2390']"
P2283,"['C1858', 'C1901', 'C2048']"
P2284,['-']
P2285,['-']
P2286,['-']
P2287,['-']
P2288,['-']
P2289,['-']
P2290,['-']
P2291,"['C1607', 'C1977']"
P2292,['-']
P2293,['-']
P2294,['C2070']
P2295,['-']
P2296,"['C1539', 'C2094']"
P2297,['C1601']
P2298,['-']
P2299,['-']
P2300,"['C1522', 'C1971', 'C2073']"
P2301,['-']
P2302,['-']
P2303,['C2237']
P2304,['C1870']
P2305,['-']
P2306,['-']
P2307,['C2081']
P2308,['-']
P2309,"['C1579', 'C2217', 'C2342']"
P2310,['-']
P2311,['C1483']
P2312,['C2330']
P2313,['-']
P2314,"['C2286', 'C2381']"
P2315,['-']
P2316,"['C1547', 'C1889', 'C2092', 'C2307', 'C2375']"
P2317,['-']
